min,mean,max,date
41,50,59,'2014-04-21'
47,58,70,'2014-04-22'
52,60,69,'2014-04-23'
54,58,63,'2014-04-24'
52,58,65,'2014-04-25'
48,56,64,'2014-04-26'
47,55,63,'2014-04-27'
50,53,56,'2014-04-28'
46,50,55,'2014-04-29'
44,52,60,'2014-04-30'
43,50,57,'2014-05-01'
47,55,63,'2014-05-02'
46,54,61,'2014-05-03'
44,52,59,'2014-05-04'
43,52,60,'2014-05-05'
45,54,64,'2014-05-06'
43,56,68,'2014-05-07'
45,56,66,'2014-05-08'
48,58,69,'2014-05-09'
43,58,72,'2014-05-10'
45,60,75,'2014-05-11'
50,60,70,'2014-05-12'
48,60,72,'2014-05-13'
48,54,59,'2014-05-14'
43,46,50,'2014-05-15'
44,50,56,'2014-05-16'
44,52,60,'2014-05-17'
45,54,63,'2014-05-18'
41,54,66,'2014-05-19'
53,61,69,'2014-05-20'
47,60,73,'2014-05-21'
48,62,77,'2014-05-22'
51,64,77,'2014-05-23'
51,64,76,'2014-05-24'
52,64,75,'2014-05-25'
56,64,71,'2014-05-26'
51,64,77,'2014-05-27'
48,61,74,'2014-05-28'
50,57,64,'2014-05-29'
52,57,62,'2014-05-30'
48,57,66,'2014-05-31'
43,53,63,'2014-06-01'
42,54,66,'2014-06-02'
47,58,70,'2014-06-03'
51,61,71,'2014-06-04'
47,62,76,'2014-06-05'
49,62,75,'2014-06-06'
51,64,77,'2014-06-07'
56,70,83,'2014-06-08'
51,66,81,'2014-06-09'
52,66,81,'2014-06-10'
56,68,80,'2014-06-11'
54,66,79,'2014-06-12'
58,70,81,'2014-06-13'
54,68,83,'2014-06-14'
55,66,77,'2014-06-15'
55,67,79,'2014-06-16'
58,64,69,'2014-06-17'
55,67,77,'2014-06-18'
51,60,68,'2014-06-19'
52,61,70,'2014-06-20'
47,60,73,'2014-06-21'
48,62,76,'2014-06-22'
53,67,81,'2014-06-23'
56,70,84,'2014-06-24'
57,68,80,'2014-06-25'
66,74,82,'2014-06-26'
62,72,82,'2014-06-27'
55,67,79,'2014-06-28'
58,71,84,'2014-06-29'
56,70,84,'2014-06-30'
54,66,78,'2014-07-01'
57,70,83,'2014-07-02'
57,70,82,'2014-07-03'
54,68,82,'2014-07-04'
54,69,84,'2014-07-05'
57,71,85,'2014-07-06'
57,72,86,'2014-07-07'
59,74,89,'2014-07-08'
61,70,78,'2014-07-09'
51,64,78,'2014-07-10'
51,60,68,'2014-07-11'
57,65,73,'2014-07-12'
53,67,81,'2014-07-13'
53,67,81,'2014-07-14'
55,62,69,'2014-07-15'
54,67,80,'2014-07-16'
56,66,77,'2014-07-17'
55,66,78,'2014-07-18'
57,69,81,'2014-07-19'
59,70,80,'2014-07-20'
59,72,84,'2014-07-21'
61,69,75,'2014-07-22'
59,67,75,'2014-07-23'
55,66,78,'2014-07-24'
59,68,78,'2014-07-25'
56,70,83,'2014-07-26'
61,72,84,'2014-07-27'
60,71,82,'2014-07-28'
57,70,84,'2014-07-29'
59,72,85,'2014-07-30'
66,72,79,'2014-07-31'
55,64,71,'2014-08-01'
56,68,79,'2014-08-02'
59,70,82,'2014-08-03'
59,72,85,'2014-08-04'
59,72,84,'2014-08-05'
59,71,83,'2014-08-06'
57,70,82,'2014-08-07'
60,71,82,'2014-08-08'
57,70,83,'2014-08-09'
59,72,85,'2014-08-10'
62,75,88,'2014-08-11'
62,76,90,'2014-08-12'
62,78,93,'2014-08-13'
66,80,93,'2014-08-14'
59,74,86,'2014-08-15'
55,69,83,'2014-08-16'
55,66,77,'2014-08-17'
50,64,78,'2014-08-18'
54,69,84,'2014-08-19'
57,72,86,'2014-08-20'
61,75,89,'2014-08-21'
62,76,89,'2014-08-22'
59,74,89,'2014-08-23'
57,72,86,'2014-08-24'
54,68,81,'2014-08-25'
57,72,86,'2014-08-26'
56,72,89,'2014-08-27'
59,72,85,'2014-08-28'
64,74,83,'2014-08-29'
64,72,81,'2014-08-30'
57,72,85,'2014-08-31'
55,70,84,'2014-09-01'
59,66,73,'2014-09-02'
56,64,73,'2014-09-03'
55,65,75,'2014-09-04'
56,67,78,'2014-09-05'
56,66,77,'2014-09-06'
57,67,77,'2014-09-07'
56,66,75,'2014-09-08'
52,64,75,'2014-09-09'
54,64,75,'2014-09-10'
55,66,77,'2014-09-11'
55,67,79,'2014-09-12'
56,68,79,'2014-09-13'
56,68,80,'2014-09-14'
52,63,74,'2014-09-15'
48,60,72,'2014-09-16'
53,63,73,'2014-09-17'
55,64,74,'2014-09-18'
53,64,74,'2014-09-19'
54,64,73,'2014-09-20'
61,69,77,'2014-09-21'
59,68,76,'2014-09-22'
47,60,68,'2014-09-23'
41,52,64,'2014-09-24'
51,59,67,'2014-09-25'
45,54,61,'2014-09-26'
41,51,61,'2014-09-27'
41,54,66,'2014-09-28'
45,56,67,'2014-09-29'
44,56,68,'2014-09-30'
46,59,72,'2014-10-01'
49,60,72,'2014-10-02'
54,60,65,'2014-10-03'
51,59,65,'2014-10-04'
49,54,60,'2014-10-05'
50,54,57,'2014-10-06'
51,56,62,'2014-10-07'
52,60,68,'2014-10-08'
48,59,70,'2014-10-09'
